Scheme Name	Net Asset Value
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.1308
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.2405
	
	
	
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	10.6271
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.3639
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	10.5956
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.3329
	
	
	
DSP Banking & PSU Debt Fund - Direct Plan - Growth	21.5067
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.5319
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1600
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.2402
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly 	10.2818
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1612
DSP Banking & PSU Debt Fund - Regular Plan - Growth	20.8721
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.5193
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1600
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.2326
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly 	10.2762
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1611
	
	
	
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	22.0495
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.2466
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5687
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.9436
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5636
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	21.3986
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	17.6143
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.1857
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1883
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1584
	
	
	
Franklin India Banking & PSU Debt Fund - Direct - Growth	20.3281
Franklin India Banking & PSU Debt Fund - Growth	19.5750
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	10.9904
Franklin India Banking and PSU Debt Fund - IDCW 	10.4477
	
	
	
HDFC Banking and PSU Debt Fund - Growth Option	20.0367
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	20.7162
HDFC Banking and PSU Debt Fund - IDCW Option	10.147
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0375
	
	
	
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1905
HSBC Banking and PSU Debt Fund - Direct Growth	22.2023
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.2719
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3503
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.1157
HSBC Banking and PSU Debt Fund - Regular Growth	21.2234
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.7089
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3229
	
	
	
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	29.5182
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.5498
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	28.4890
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.6417
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
	
	
	
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment)	1014.1799
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option	2092.981
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment)	1031.9684
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1011.6826
Invesco India Banking & PSU Debt Fund - Growth Option	1965.9856
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment)	1031.8146
	
	
	
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	11.5906
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	11.5906
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	11.4088
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	11.4088
	
	
	
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	56.7581
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	10.6635
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	58.7201
